price_czk,district,size_m2,room_count,has_separate_kitchen,floor_number,total_floors,building_type,condition,ownership,furnished,elevator,has_balcony,has_terrace,has_cellar,has_parking
32000,Praha 9,84,3,False,4,,Smíšená,Novostavba,Družstevní,No,Yes,True,False,True,True
18000,Praha 6,24,1,False,5,6.0,Smíšená,Dobrý,Osobní,Unknown,Unknown,False,False,False,False
30000,Praha 1,69,3,True,2,3.0,Cihlová,Dobrý,Osobní,Yes,Unknown,True,True,False,False
32500,Praha 2,87,4,True,4,,Smíšená,Velmi dobrý,Osobní,Yes,Yes,False,False,False,False
14990,Praha 9,30,1,False,1,7.0,Cihlová,Velmi dobrý,Osobní,Yes,Yes,False,False,True,False
28500,Praha 7,43,2,False,6,8.0,Cihlová,Velmi dobrý,Osobní,Partially,Yes,False,True,True,True
26500,Praha 2,65,2,False,3,6.0,Cihlová,Po rekonstrukci,Osobní,Yes,Yes,False,False,False,True
17900,Praha 8,28,1,False,3,,Cihlová,Po rekonstrukci,Osobní,Partially,No,True,False,False,False
39000,Praha 5,107,4,False,3,4.0,Cihlová,Velmi dobrý,Osobní,Partially,Unknown,False,True,False,False
40000,Praha 2,85,3,False,5,,Cihlová,Velmi dobrý,Osobní,Yes,Yes,False,False,False,False
25000,Praha 4,64,3,False,6,,Panelová,Po rekonstrukci,Družstevní,No,Yes,False,False,True,False
42000,Praha 2,110,3,False,6,,Cihlová,Velmi dobrý,Osobní,Yes,Yes,False,False,False,False
33000,Praha 3,85,3,True,6,6.0,Cihlová,Velmi dobrý,Osobní,Partially,Yes,False,False,False,False
32000,Praha 2,63,3,False,3,,Smíšená,Velmi dobrý,Osobní,Yes,Yes,True,False,False,False
42000,Praha 2,100,4,True,6,,Smíšená,Velmi dobrý,Osobní,Yes,Yes,False,True,False,False
17490,Praha 8,42,2,True,4,5.0,Cihlová,Dobrý,Osobní,Partially,Unknown,True,True,False,False
32000,Praha 2,63,3,False,5,,Cihlová,Velmi dobrý,Osobní,Yes,Yes,False,False,False,False
45000,Praha 7,144,5,False,3,,Cihlová,Po rekonstrukci,Osobní,Partially,No,False,False,True,False
25000,Praha 5,45,2,False,1,7.0,Cihlová,Velmi dobrý,Družstevní,Partially,Yes,True,False,False,False
25000,Praha 2,40,2,False,1,,Cihlová,Velmi dobrý,Osobní,Yes,Yes,False,False,False,False
31000,Praha 4,47,2,False,3,,Smíšená,Novostavba,Osobní,Partially,Yes,False,True,True,True
29900,Praha 5,80,3,False,5,,Cihlová,Dobrý,Osobní,No,Yes,True,False,False,False
16500,Praha 9,35,2,True,3,8.0,Panelová,Velmi dobrý,Osobní,Yes,Yes,False,False,False,False
30490,Praha 9,66,3,False,4,5.0,Smíšená,Novostavba,Osobní,Yes,Yes,True,False,False,False
18500,Praha 1,35,1,False,2,4.0,Cihlová,Velmi dobrý,Osobní,No,Yes,True,False,True,False
17000,Praha 4,35,1,False,2,,Cihlová,Novostavba,Osobní,Unknown,Yes,True,False,True,True
29999,Praha 3,100,4,True,5,6.0,Cihlová,Velmi dobrý,Osobní,Unknown,Unknown,False,False,False,False
15000,Praha 9,34,1,False,1,,Smíšená,Velmi dobrý,Osobní,Partially,Unknown,False,False,False,True
21000,Praha 4,61,2,False,3,,Cihlová,Dobrý,Družstevní,Unknown,Unknown,True,False,False,False
25000,Praha 5,65,2,False,2,,Cihlová,Velmi dobrý,Osobní,Partially,Yes,False,False,True,True
32000,Praha 4,74,3,False,4,,Cihlová,Velmi dobrý,Osobní,Unknown,Unknown,False,False,True,True
16000,Praha 8,28,1,False,5,7.0,Panelová,Po rekonstrukci,Osobní,Partially,Yes,False,False,True,False
55000,Praha 6,110,4,False,6,,Cihlová,Velmi dobrý,Osobní,Yes,Yes,False,True,True,False
22000,Praha 5,50,2,False,2,3.0,Cihlová,Velmi dobrý,Osobní,Partially,Unknown,True,True,False,False
